实体一,名称一,实体二,名称二,关系
车型,奥迪A3(进口) 2013款 Sportback 35 TFSI 尊贵型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2012款 Sportback 1.4T 技术型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2012款 Sportback 1.4T 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2012款 Sportback 1.4T 豪华型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2012款 Sportback 1.8T 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2012款 Sportback 1.8T 尊贵型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2010款 Sportback 1.4T 舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2010款 Sportback 1.4T 豪华型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2010款 Sportback 1.8T 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3(进口) 2010款 Sportback 1.8T 尊贵型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3 PHEV(进口) 2017款 Sportback e-tron 舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3 PHEV(进口) 2015款 Sportback e-tron 舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A3 PHEV(进口) 2015款 Sportback e-tron 运动型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A8 PHEV 2022款 A8L 60 TFSIe quattro 典藏版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 PHEV 2021款 A8L 60 TFSIe quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4(进口) 2025款 Avant 40 TFSI,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4(进口) 2025款 allroad quattro 45 TFSI,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A4(进口) 2024款 Avant 40 TFSI时尚动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4(进口) 2024款 allroad quattro,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A5 2025款 Sportback 典藏版 40 TFSI 时尚动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A5 2025款 Sportback 典藏版 40 TFSI quattro 豪华动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A5 2024款 Sportback 40 TFSI 时尚动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A5 2024款 Sportback 40 TFSI quattro 豪华动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A5 2024款 Sportback 45 TFSI quattro 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A5 2024款 Coupe 40 TFSI 时尚动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A5 2024款 Cabriolet 40 TFSI 时尚动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪S5 2024款 3.0T Sportback,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S5 2024款 3.0T Coupe,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S5 2024款 3.0T Cabriolet,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6(进口) 2026款  allroad quattro 55 TFSI ,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6(进口) 2025款 Avant quattro 先锋派 45 TFSI 臻选动感型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6(进口) 2025款 allroad quattro 探索家 55 TFSI 尊享越野型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S6 2025款 2.9T Limousine,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S6 2024款 2.9T Limousine,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A7 2024款 40 TFSI 豪华型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A7 2024款 45 TFSI 臻选型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A7 2024款 55 TFSI quattro 尊享型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S7 2024款 2.9 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2026款 A8L 45 TFSI quattro豪华型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2026款 A8L 50 TFSI quattro臻选型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2026款 A8L 55 TFSI quattro旗舰型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2026款 A8L 55 TFSI Horch创始人版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2026款 A8L 60 TFSI Horch创始人版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2025款 A8L 45 TFSI quattro豪华型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2025款 A8L 50 TFSI quattro臻选型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2025款 A8L 55 TFSI quattro旗舰型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2025款 A8L 55 TFSI Horch创始人版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A8 2025款 A8L 60 TFSI Horch创始人版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S8 2026款 S8L 4.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪S8 2025款 S8L 4.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q3(进口) 2015款 40 TFSI quattro 越野型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪Q3(进口) 2012款 35 TFSI quattro 舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪Q3(进口) 2012款 40 TFSI quattro 运动型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪Q3(进口) 2012款 40 TFSI quattro 越野型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2013款 45 TFSI quattro 运动型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2013款 40 TFSI hybrid,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2013款 45 TFSI quattro 越野型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2012款 2.0TFSI hybrid,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2010款 2.0TFSI 运动版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2010款 2.0TFSI 越野版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2010款 3.2FSI 运动版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q5(进口) 2010款 3.2FSI 越野版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪SQ5 2024款 3.0 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 2025款 45 TFSI quattro S line黑武士型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 2025款 45 TFSI quattro S line运动型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 2025款 55 TFSI quattro S line黑武士型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 2025款 55 TFSI quattro S line运动型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 2025款 55 TFSI quattro S line尊贵型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 PHEV 2019款 55 e-tron,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q7 PHEV 2017款 45 e-tron,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2017款 TT Coupe 40 TFSI,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪TT 2017款 TT Coupe 45 TFSI,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪TT 2017款 TT Coupe 45 TFSI quattro,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪TT 2017款 TT Roadster 45 TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2017款 TT Roadster 45 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2015款 TT Coupe 45 TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2015款 TT Coupe 45 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2015款 TT Roadster 45 TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2015款 TT Roadster 45 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2015款 TT Coupe 45 TFSI quattro 复仇者联盟决胜版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2014款 TT Coupe 45 TFSI 悦尚型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2014款 TT Coupe 45 TFSI 劲动型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2014款 TT Coupe 45 TFSI quattro 悦尚型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2014款 TT Coupe 45 TFSI quattro 劲动型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI 白色经典版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI 彩色梦幻版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI 黑色旋风版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI quattro 白色经典版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI quattro 彩色梦幻版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Roadster 45 TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Coupe 45 TFSI quattro 黑色旋风版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2013款 TT Roadster 45 TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2012款 TT Roadster 2.0TFSI典雅版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2012款 TT Roadster 2.0TFSI quattro典雅版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2011款 TT Coupe 2.0TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2011款 TT Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2011款 TT Roadster 2.0TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2011款 TT Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2010款 TT 2.0TFSI典藏版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2008款 TT Coupe 2.0TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2008款 TT Roadster 2.0TFSI,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TT 2008款 TT 3.2 Quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2017款 TTS Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2017款 TTS Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2016款 TTS Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2016款 TTS Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2013款 TTS Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2013款 TTS Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2011款 TTS Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2011款 TTS Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2008款 TTS Coupe 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪TTS 2008款 TTS Roadster 2.0TFSI quattro,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Sportback 常规版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Sportback 燃擎版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Sportback 致臻版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Coupe 常规版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Coupe 燃擎版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 5 2024款 2.9T Coupe 致臻版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 6 2025款 RS 6 4.0T Avant Performance,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 6 2025款 RS 6 Avant GT,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪RS 7 2025款 RS 7 4.0T Sportback Performance,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A3 2026款 Sportback 35 TFSI 飞驰悦享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2026款 Sportback 35 TFSI 飞驰尊享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2026款 Sportback 35 TFSI 飞驰尊享型+豪华臻选包,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3 2026款 A3L Limousine 35 TFSI 飞驰悦享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2026款 A3L Limousine 35 TFSI 飞驰尊享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2026款 A3L Limousine 35 TFSI 飞驰尊享型+豪华臻选包,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3 2025款 Sportback 35 TFSI 飞驰悦享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2025款 Sportback 35 TFSI 飞驰尊享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2025款 Sportback 35 TFSI 飞驰尊享型+豪华臻选包,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰悦享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰尊享型,价格区间,10-20万,IN_PRICE_RANGE
车型,奥迪A3 2025款 A3L Limousine 35 TFSI 飞驰尊享型+豪华臻选包,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4L 2025款 200万辆悦享版 40 TFSI 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4L 2025款 200万辆悦享版 40 TFSI 豪华动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2025款 200万辆悦享版 40 TFSI 豪华动感型B&O星夜版,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2025款 200万辆悦享版 45 TFSI quattro 臻选动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2024款 40 TFSI 时尚动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2024款 40 TFSI 豪华动感型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2024款 40 TFSI quattro RS套件燃速型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2024款 40 TFSI 豪华动感型 星夜版,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4L 2024款 45 TFSI quattro 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2026款 40 TFSI 豪华动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2026款 45 TFSI 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6L 2025款 40 TFSI 豪华动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2025款 45 TFSI 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6L 2025款 55 TFSI quattro 尊享动感型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6L 2025款 55 TFSI quattro 旗舰动感型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪Q3 2026款 quattro 45周年典藏版 35 TFSI 进取动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2026款 quattro 45周年典藏版 35 TFSI 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2026款 quattro 45周年典藏版 40 TFSI 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2026款 quattro 45周年典藏版 45 TFSI quattro 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 35 TFSI 进取致雅型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 35 TFSI 进取动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 35 TFSI 时尚致雅型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 35 TFSI 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 35 TFSI RS套件燃速型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 40 TFSI RS套件燃速型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 40 TFSI 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪Q3 2025款 quattro 45周年典藏版 45 TFSI quattro 时尚动感型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2008款 1.8T 手动舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2008款 1.8T 自动舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2008款 1.8T 个性风格版,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2008款 1.8T 自动豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2008款 2.0T 个性风格版,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2008款 2.0T 自动豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 手动标准型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 手动舒适型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 自动标准型,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 自动舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 2.0T 自动标准型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 个性风格版,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 2.0T 自动舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 1.8T 自动豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2007款 2.0T 自动豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 1.8T 手动基本,价格区间,20-30万,IN_PRICE_RANGE
车型,奥迪A4 2006款 1.8T 自动基本,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 1.8T 7挡自动舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 1.8T 豪华型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 1.8T 领先型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 2.0T 标准型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 2.0T 尊享型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2006款 3.0L quattro 旗舰型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2005款 1.8T 入门型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2005款 1.8T 自动基本型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2005款 1.8T 手动基本型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2005款 1.8T 6挡自动舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2005款 1.8T 技术型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2005款 2.4L 舒适型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A4 2005款 2.4L 运动型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A4 2005款 2.4L 尊贵型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2005款 3.0L 运动版,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2005款 3.0L,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2004款 1.8T,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2004款 1.8T 舒适型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2004款 1.8T 标准型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2004款 1.8T Sline,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2004款 1.8T 技术型,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A4 2004款 2.4L 舒适型,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A4 2004款 2.4L 尊享型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2004款 3.0L 尊享型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2004款 3.0L 舒适型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A4 2004款 3.0L 加温型,价格区间,50万以上,IN_PRICE_RANGE
车型,奥迪A6 2004款 1.8L（125马力）,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A6 2004款 1.8T 手动基本,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A6 2004款 2.4L 手动基本,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A6 2004款 1.8T 自动基本,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A6 2004款 2.4L 自动基本,价格区间,30-40万,IN_PRICE_RANGE
车型,奥迪A6 2004款 1.8T 自动舒适,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6 2004款 2.4L 豪华舒适,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6 2004款 2.4L 技术领先,价格区间,40-50万,IN_PRICE_RANGE
车型,奥迪A6 2004款 2.8L 豪华型,价格区间,40-50万,IN_PRICE_RANGE
